,Date,Predicted
0,2021-04-15,3361.754150390625
1,2021-04-16,3369.60107421875
2,2021-04-17,3373.659423828125
3,2021-04-18,3375.48388671875
4,2021-04-19,3375.92822265625
5,2021-04-20,3375.483154296875
6,2021-04-21,3374.447998046875
7,2021-04-22,3373.01708984375
8,2021-04-23,3371.325927734375
9,2021-04-24,3369.47216796875
10,2021-04-25,3367.528564453125
11,2021-04-26,3365.550537109375
12,2021-04-27,3363.579345703125
13,2021-04-28,3361.644775390625
14,2021-04-29,3359.768798828125
15,2021-04-30,3357.96630859375
16,2021-05-01,3356.24658203125
17,2021-05-02,3354.61376953125
18,2021-05-03,3353.069580078125
19,2021-05-04,3351.613037109375
20,2021-05-05,3350.2412109375
21,2021-05-06,3348.949951171875
22,2021-05-07,3347.734375
23,2021-05-08,3346.588623046875
24,2021-05-09,3345.507568359375
25,2021-05-10,3344.485107421875
26,2021-05-11,3343.5166015625
27,2021-05-12,3342.5966796875
28,2021-05-13,3341.72021484375
29,2021-05-14,3340.883544921875
